Feature,r1,r2,r3,r4,r5,r6,r7,agree?,agree no r5 and r6,,
Public space,Negative,Neutral,Negative,Negative,Positive,Positive,Negative,FALSE,FALSE,,
Software,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Thoroughfare,Negative,Negative,Positive,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
Condominium,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Display device,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Street light,Negative,Neutral,Negative,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Ecoregion,Positive,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Nature,Positive,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Land lot,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Biome,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Multimedia software,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Commercial building,Positive,Negative,Negative,Positive,Neutral,Neutral,Negative,FALSE,FALSE,,
Travel,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Poű,FALSE,FALSE,,
Residential area,Negative,Neutral,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Shooter game,Neutral,Neutral,Positive,Positive,Negative,Negative,Negative,FALSE,FALSE,,
Grass,Negative,Neutral,Neutral,Neutral,Positive,Positive,Neutral,FALSE,FALSE,,
Woody plant,Positive,Negative,Neutral,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Landscape,Negative,Negative,Neutral,Neutral,Neutral,Positive,Negative,FALSE,FALSE,,
Games,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Line,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Automotive mirror,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Umbrella,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Table,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Shade,Neutral,Neutral,Positive,Positive,Negative,Neutral,Positive,FALSE,FALSE,,
Awning,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Tent,Neutral,Positive,Positive,Positive,Neutral,Neutral,Positive,FALSE,FALSE,,
Chair,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Terrestrial plant,Positive,Neutral,Neutral,Neutral,Positive,Positive,Neutral,FALSE,FALSE,,
Roof,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Light,Negative,Neutral,Negative,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Gas,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Positive,FALSE,FALSE,,
Graphics software,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Adaptation,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
World,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Automotive tire,Neutral,Positive,Neutral,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
White,Neutral,Neutral,Negative,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Natural landscape,Positive,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Material property,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Green,Negative,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Moon,Neutral,Neutral,Positive,Neutral,Negative,Positive,Positive,FALSE,FALSE,,
Natural environment,Positive,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Automotive exterior,Neutral,Neutral,Positive,Positive,Negative,Neutral,Positive,FALSE,FALSE,,
Product,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Fence,Positive,Positive,Positive,Negative,Neutral,Negative,Positive,FALSE,FALSE,,
Electricity,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,FALSE,FALSE,,
Slope,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Technology,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Vegetation,Positive,Neutral,Neutral,Positive,Positive,Positive,Neutral,FALSE,FALSE,,
Siding,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Cottage,Neutral,Negative,Positive,Neutral,Positive,Neutral,Positive,FALSE,FALSE,,
Landmark,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Automotive side marker light,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Botany,Positive,Negative,Neutral,Neutral,Neutral,Positive,Neutral,FALSE,FALSE,,
Rectangle,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Apartment,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Machine,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Leaf,Neutral,Neutral,Negative,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Home door,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Concrete,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Room,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Sash window,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Orange,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Trunk,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Grassland,Positive,Negative,Neutral,Negative,Positive,Neutral,Neutral,FALSE,FALSE,,
Human settlement,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Black,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Positive,FALSE,FALSE,,
Branch,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Yellow,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Pc game,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Computer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Tar,Neutral,Neutral,Positive,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
Vertebrate,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Bus,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Gadget,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Electronic device,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Cumulus,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Van,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,FALSE,FALSE,,
Leisure,Negative,Neutral,Negative,Neutral,Positive,Positive,Neutral,FALSE,FALSE,,
Rolling,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Plain,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Rural area,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Lawn,Negative,Neutral,Neutral,Negative,Positive,Neutral,Neutral,FALSE,FALSE,,
Parallel,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Tour bus service,Negative,Negative,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Gas pump,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
Gasoline,Neutral,Neutral,Neutral,Positive,Negative,Neutral,Neutral,FALSE,FALSE,,
Filling station,Neutral,Neutral,Positive,Negative,Negative,Neutral,Positive,FALSE,FALSE,,
Truck,Neutral,Positive,Positive,Neutral,Negative,Neutral,Positive,FALSE,FALSE,,
Daytime,Negative,Negative,Neutral,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Event,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Rearview mirror,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Advertising,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Communication Device,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Hood,Neutral,Positive,Positive,Positive,Neutral,Neutral,Positive,FALSE,FALSE,,
Output device,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Train,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Rolling stock,Neutral,Neutral,Positive,Neutral,Negative,Neutral,Neutral,FALSE,FALSE,,
Fender,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Flower,Negative,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Vehicle door,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Home fencing,Positive,Positive,Negative,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Organism,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Forest,Positive,Negative,Positive,Positive,Positive,Neutral,Positive,FALSE,FALSE,,
Bicycle,Neutral,Negative,Neutral,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Mesh,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Street,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Parking,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Automotive carrying rack,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Urban area,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Gps navigation device,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Plant community,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Shrub,Positive,Neutral,Neutral,Positive,Positive,,Neutral,FALSE,FALSE,,
Hazard,Neutral,Positive,Positive,Positive,Negative,Negative,Positive,FALSE,FALSE,,
Map,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Traffic sign,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
People in nature,Neutral,Negative,Neutral,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Groundcover,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Sunlight,Negative,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Personal computer,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Tints and shades,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Positive,FALSE,FALSE,,
Logo,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Horizon,Negative,Neutral,Negative,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Flooring,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Interior design,Negative,Negative,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Atmosphere,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Personal luxury car,Neutral,Negative,Positive,Neutral,Negative,Neutral,Neutral,FALSE,FALSE,,
Composite material,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Cabinetry,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Recreation,Neutral,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Water,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Prairie,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Geological phenomenon,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Grass family,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Mammal,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Floor,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Zebra crossing,Neutral,Neutral,Positive,Negative,Positive,Neutral,Neutral,FALSE,FALSE,,
Public transport,Neutral,Neutral,Positive,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Passenger,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
BicyclesEquipment and supplies,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Automotive sideview mirror,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Bicycle wheel,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Retail,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Home appliance,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Banner,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Sign,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Musical instrument,Neutral,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Natural foods,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,Negative,FALSE,FALSE,,
Automotive wheel system,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Snapshot,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Pedestrian,Negative,Negative,Neutral,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Bicycle handlebar,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Pedestrian crossing,Neutral,Negative,Positive,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Mixeduse,Negative,Neutral,Neutral,Neutral,Neutral,,Negative,FALSE,FALSE,,
Larch,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Competition event,Neutral,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Grille,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Naval architecture,Negative,Negative,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Alloy wheel,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Field house,Neutral,Negative,Positive,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Stadium,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Sport venue,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Camera,Neutral,Neutral,Negative,Negative,Neutral,Neutral,Neutral,FALSE,FALSE,,
Animation,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Engineering,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Art,Negative,Negative,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Brand,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Player,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Tower block,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Compact van,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,FALSE,FALSE,,
Handwriting,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Symmetry,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Traffic light,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Bicycle frame,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Hubcap,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Sink,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Graphics,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Electric blue,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Suit,Neutral,Negative,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Town,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Design,Negative,Neutral,Negative,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
Poster,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Arch,Positive,Negative,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Fruit,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Hat,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,Positive,FALSE,FALSE,,
Racing video game,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Meteorological phenomenon,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Runway,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
Soil,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Morning,Neutral,Negative,Negative,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Christmas tree,Neutral,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Wood stain,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Crescent,Neutral,Neutral,Neutral,Neutral,Negative,Neutral,Neutral,FALSE,TRUE,,
Bird,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Stairs,Neutral,Neutral,Positive,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Stop sign,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Bicycle tire,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Flat panel display,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Evergreen,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,TRUE,,
shortstraw pine,Neutral,,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Bumper,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Transport hub,Neutral,Neutral,Positive,Positive,Negative,Neutral,Negative,FALSE,FALSE,,
Trade,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Job,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Baseball,Neutral,Neutral,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Waste container,Neutral,Positive,Neutral,Positive,Positive,Neutral,Neutral,FALSE,FALSE,,
Waste containment,Neutral,Positive,Neutral,Positive,Positive,Negative,Neutral,FALSE,FALSE,,
Space,Neutral,Neutral,Negative,Neutral,Neutral,Positive,Negative,FALSE,FALSE,,
Outdoor table,Neutral,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Sports equipment,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Canopy,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Outdoor furniture,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Atmospheric phenomenon,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Twig,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Agriculture,Neutral,Negative,Neutral,Neutral,Positive,Neutral,Neutral,FALSE,FALSE,,
Gesture,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Tower,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Flowering plant,Negative,Negative,Negative,Neutral,Positive,Positive,Negative,FALSE,FALSE,,
Overhead power line,Neutral,Neutral,Positive,Neutral,Negative,Negative,Positive,FALSE,FALSE,,
Porch,Negative,Negative,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Television antenna,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Highland,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Garden,Neutral,Neutral,Negative,Neutral,Positive,Neutral,Negative,FALSE,FALSE,,
Triangle,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Auto part,Neutral,Positive,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Ladder,Neutral,Neutral,Neutral,Positive,Neutral,Neutral,Neutral,FALSE,FALSE,,
Picket fence,Positive,Positive,Negative,Negative,Positive,Neutral,Negative,FALSE,FALSE,,
Air travel,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Helmet,Neutral,Neutral,Negative,Neutral,Neutral,Neutral,Negative,FALSE,FALSE,,
Aircraft,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Light commercial vehicle,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,TRUE,TRUE,,
Carnivore,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,Neutral,FALSE,FALSE,,
