long 16.98136 lat 46.45775 viewpoint 0 degrees.jpeg,Cloud 96,Plant 93,Ecoregion 93,Sky 92,Nature 90,Natural environment 89,Natural landscape 88,Vegetation 85,Land lot 85,Tree 85
long 16.98153395 lat 46.45768865 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.98153395 lat 46.45768865 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815518666667 lat 46.4576997333333 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Car 96,Vehicle 95,Wheel 93,Plant 93,Tire 92,Automotive tail & brake light 91,Automotive tire 88,Motor vehicle 86
long 16.9815518666667 lat 46.4576997333333 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815518666667 lat 46.4576997333333 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815518666667 lat 46.4576997333333 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 89,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815685714286 lat 46.457682 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Car 95,Vehicle 95,Plant 93,Tire 91,Automotive tail & brake light 91,Automotive tire 86,Automotive mirror 84
long 16.9815685714286 lat 46.457682 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815685714286 lat 46.457682 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815685714286 lat 46.457682 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815716190476 lat 46.4576933333333 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815716190476 lat 46.4576933333333 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815716190476 lat 46.4576933333333 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815716190476 lat 46.4576933333333 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815737959184 lat 46.4577014285714 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815737959184 lat 46.4577014285714 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815737959184 lat 46.4577014285714 viewpoint 270 degrees.jpeg,Cloud 94,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 83,Plant 83,Thoroughfare 82
long 16.9815737959184 lat 46.4577014285714 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.981575 lat 46.457883 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Car 95,Vehicle 95,Plant 93,Tire 91,Automotive tail & brake light 91,Automotive tire 86,Automotive mirror 84
long 16.981575 lat 46.457883 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.981575 lat 46.457883 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.981575 lat 46.457883 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815754285714 lat 46.4577075 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815754285714 lat 46.4577075 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815754285714 lat 46.4577075 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815754285714 lat 46.4577075 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815766984127 lat 46.4577122222222 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815766984127 lat 46.4577122222222 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815766984127 lat 46.4577122222222 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815766984127 lat 46.4577122222222 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815777142857 lat 46.457716 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815777142857 lat 46.457716 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Machine 66
long 16.9815777142857 lat 46.457716 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815777142857 lat 46.457716 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815818 lat 46.4578257 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815818 lat 46.4578257 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815818 lat 46.4578257 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815818 lat 46.4578257 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815886 lat 46.4577684 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815886 lat 46.4577684 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815886 lat 46.4577684 viewpoint 270 degrees.jpeg,Cloud 94,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 83,Plant 83,Thoroughfare 82
long 16.9815886 lat 46.4577684 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.98159155 lat 46.4577553 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Car 95,Vehicle 95,Plant 93,Tire 91,Automotive tail & brake light 91,Automotive tire 86,Automotive mirror 84
long 16.98159155 lat 46.4577553 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Machine 66
long 16.98159155 lat 46.4577553 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.98159155 lat 46.4577553 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 89,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9815945 lat 46.4577422 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9815945 lat 46.4577422 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9815945 lat 46.4577422 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9815945 lat 46.4577422 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.98159745 lat 46.4577291 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.98159745 lat 46.4577291 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.98159745 lat 46.4577291 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.98159745 lat 46.4577291 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9816092 lat 46.4577352 viewpoint 0 degrees.jpeg,Cloud 98,Sky 96,Wheel 95,Vehicle 95,Car 95,Plant 92,Tire 91,Automotive tail & brake light 91,Automotive tire 87,Automotive design 84
long 16.9816092 lat 46.4577352 viewpoint 180 degrees.jpeg,Product 91,Screenshot 83,Software 78,Gas 78,Technology 78,Font 75,Video game software 71,Building 69,Electric blue 68,Games 67
long 16.9816092 lat 46.4577352 viewpoint 270 degrees.jpeg,Cloud 95,Sky 92,Asphalt 88,Road surface 86,Mode of transport 85,Tree 85,Font 84,Screenshot 84,Plant 82,Thoroughfare 82
long 16.9816092 lat 46.4577352 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Plant 90,Asphalt 87,Road surface 86,Tree 85,Font 83,Screenshot 82,Line 82,Road 76
long 16.9816636 lat 46.4577125333333 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9816636 lat 46.4577125333333 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.9816636 lat 46.4577125333333 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.9816636 lat 46.4577125333333 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9816952 lat 46.4577884 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9816952 lat 46.4577884 viewpoint 180 degrees.jpeg,Font 82,Screenshot 81,Electronic device 75,Gas 74,Software 73,Multimedia 72,Display device 72,Electric blue 65,Machine 63,Logo 63
long 16.9816952 lat 46.4577884 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.9816952 lat 46.4577884 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9816961 lat 46.4578349 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9816961 lat 46.4578349 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.9816961 lat 46.4578349 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.9816961 lat 46.4578349 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.98169715 lat 46.45777585 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 83,Screenshot 83,Line 82,Font 79,Plain 79
long 16.98169715 lat 46.45777585 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.98169715 lat 46.45777585 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 83
long 16.98169715 lat 46.45777585 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9817079 lat 46.4576273 viewpoint 0 degrees.jpeg,Cloud 93,Urban design 84,Biome 83,Screenshot 82,Tree 81,Plant 79,Font 79,Software 77,Gas 77,Facade 75
long 16.9817079 lat 46.4576273 viewpoint 180 degrees.jpeg,Cloud 98,Sky 97,Ecoregion 93,Natural landscape 87,Land lot 86,Biome 84,Grass 84,Screenshot 83,Tree 82,Font 82
long 16.9817079 lat 46.4576273 viewpoint 270 degrees.jpeg,Cloud 97,Sky 97,Plant 93,Nature 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 83,Screenshot 83,Font 82
long 16.9817079 lat 46.4576273 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Car 89,Infrastructure 89,Tree 88,Plant 88,Asphalt 87,Road surface 85,Mode of transport 84,Screenshot 83
long 16.9817095555556 lat 46.4578295555556 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9817095555556 lat 46.4578295555556 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.9817095555556 lat 46.4578295555556 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.9817095555556 lat 46.4578295555556 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9817319333333 lat 46.4578570666667 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9817319333333 lat 46.4578570666667 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.9817319333333 lat 46.4578570666667 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.9817319333333 lat 46.4578570666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.98173545 lat 46.4576788 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.98173545 lat 46.4576788 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.98173545 lat 46.4576788 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.98173545 lat 46.4576788 viewpoint 90 degrees.jpeg,Cloud 97,Property 94,Sky 94,Tree 88,Asphalt 88,Road surface 86,Land lot 85,Plant 85,Building 85,Biome 84
long 16.9817405714286 lat 46.4577884 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9817405714286 lat 46.4577884 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.9817405714286 lat 46.4577884 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 83
long 16.9817405714286 lat 46.4577884 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9817437333333 lat 46.4576494666667 viewpoint 0 degrees.jpeg,Cloud 93,Urban design 84,Biome 83,Screenshot 82,Tree 81,Plant 79,Font 79,Software 77,Gas 77,Facade 75
long 16.9817437333333 lat 46.4576494666667 viewpoint 180 degrees.jpeg,Cloud 98,Sky 97,Ecoregion 93,Natural landscape 87,Land lot 86,Biome 84,Grass 84,Screenshot 83,Tree 82,Font 82
long 16.9817437333333 lat 46.4576494666667 viewpoint 270 degrees.jpeg,Cloud 97,Sky 97,Plant 93,Nature 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 83,Screenshot 83,Font 82
long 16.9817437333333 lat 46.4576494666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Car 89,Infrastructure 89,Tree 88,Plant 88,Asphalt 87,Road surface 85,Mode of transport 84,Screenshot 83
long 16.98174985 lat 46.45786815 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.98174985 lat 46.45786815 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.98174985 lat 46.45786815 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.98174985 lat 46.45786815 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9817507857143 lat 46.4578041666667 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9817507857143 lat 46.4578041666667 viewpoint 180 degrees.jpeg,Font 81,Screenshot 81,Electronic device 73,Software 72,Multimedia 72,Display device 70,Logo 64,Electric blue 61,Advertising 59,Machine 58
long 16.9817507857143 lat 46.4578041666667 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.9817507857143 lat 46.4578041666667 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9817509 lat 46.4576539 viewpoint 0 degrees.jpeg,Cloud 93,Urban design 84,Biome 83,Screenshot 82,Tree 80,Plant 80,Font 78,Software 77,Gas 77,Facade 75
long 16.9817509 lat 46.4576539 viewpoint 180 degrees.jpeg,Cloud 98,Sky 97,Ecoregion 93,Natural landscape 87,Land lot 86,Biome 84,Grass 84,Screenshot 83,Tree 82,Font 82
long 16.9817509 lat 46.4576539 viewpoint 270 degrees.jpeg,Cloud 97,Sky 97,Plant 93,Nature 90,Infrastructure 89,Tree 89,Asphalt 88,Road surface 83,Screenshot 83,Font 82
long 16.9817509 lat 46.4576539 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Car 89,Infrastructure 89,Tree 88,Plant 88,Asphalt 87,Road surface 85,Mode of transport 84,Screenshot 83
long 16.9817580816327 lat 46.4578154285714 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9817580816327 lat 46.4578154285714 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.9817580816327 lat 46.4578154285714 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 82
long 16.9817580816327 lat 46.4578154285714 viewpoint 90 degrees.jpeg,Cloud 97,Sky 94,Asphalt 87,Tree 87,Building 85,Land lot 84,Biome 84,Road surface 83,Screenshot 83,Plant 82
long 16.9817606 lat 46.4578748 viewpoint 0 degrees.jpeg,Cloud 98,Sky 97,Plant 94,Ecoregion 93,Land lot 86,Grass 84,Screenshot 83,Line 82,Natural landscape 79,Plain 79
long 16.9817606 lat 46.4578748 viewpoint 180 degrees.jpeg,Font 83,Screenshot 81,Electronic device 75,Gas 73,Software 73,Multimedia 72,Display device 71,Electric blue 65,Logo 63,Machine 62
long 16.9817606 lat 46.4578748 viewpoint 270 degrees.jpeg,Cloud 97,Sky 95,Vehicle 94,Car 94,Plant 92,Asphalt 87,Tree 86,Tire 84,Screenshot 83,Wheel 83
