long 16.994047 lat 46.465493 viewpoint 0 degrees.jpeg,Cloud 96,Sky 96,Plant 95,Building 93,Tree 90,Asphalt 88,Tire 88,Road surface 87,Wheel 87,Lighting 87
long 16.9940714375 lat 46.4653356510417 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9940714375 lat 46.4653356510417 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9940714375 lat 46.4653356510417 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Property 94,Plant 92,Cloud 91,Car 88,Asphalt 87,Tree 86,Road surface 86,Window 86
long 16.9940714375 lat 46.4653356510417 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.9940759090909 lat 46.4644653636364 viewpoint 0 degrees.jpeg,Sky 91,Cloud 90,Infrastructure 89,Asphalt 88,Road surface 88,Building 87,Urban design 84,Font 83,Screenshot 82,Thoroughfare 81
long 16.9940759090909 lat 46.4644653636364 viewpoint 180 degrees.jpeg,Sky 96,Cloud 95,Building 89,Asphalt 89,Infrastructure 89,Road surface 89,Lighting 87,Mode of transport 86,Tree 85,Thoroughfare 84
long 16.9940759090909 lat 46.4644653636364 viewpoint 270 degrees.jpeg,Building 96,Window 92,Sky 90,House 90,Vehicle 87,Architecture 86,Cloud 86,Biome 83,Screenshot 82,Roof 81
long 16.9940759090909 lat 46.4644653636364 viewpoint 90 degrees.jpeg,Window 94,Wood 87,Font 85,Wall 82,Brick 80,Screenshot 80,Facade 79,Rectangle 74,Brickwork 73,Building 73
long 16.9940807272727 lat 46.4642940909091 viewpoint 0 degrees.jpeg,Window 93,Sky 93,Car 92,Building 91,Cloud 89,Infrastructure 89,Asphalt 88,Road surface 87,Mode of transport 85,Vehicle 85
long 16.9940807272727 lat 46.4642940909091 viewpoint 180 degrees.jpeg,Cloud 96,Sky 96,Road surface 89,Building 89,Infrastructure 89,Asphalt 88,Mode of transport 85,Biome 84,Urban design 82,Tree 82
long 16.9940807272727 lat 46.4642940909091 viewpoint 270 degrees.jpeg,Plant 95,Car 94,Property 94,Photograph 94,Vehicle 94,Motor vehicle 90,Vehicle registration plate 89,Tree 87,Window 86,Tire 83
long 16.9940807272727 lat 46.4642940909091 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 93,Wood 84,Fixture 82,Rectangle 82,Wall 81,Font 81,Facade 80,Door 72
long 16.9940855454545 lat 46.4641228181818 viewpoint 0 degrees.jpeg,Photograph 94,Sky 92,Window 92,Building 92,Cloud 90,Infrastructure 90,Asphalt 88,Road surface 88,Urban design 85,Mode of transport 85
long 16.9940855454545 lat 46.4641228181818 viewpoint 180 degrees.jpeg,Sky 93,Cloud 93,Infrastructure 89,Road surface 88,Asphalt 87,Window 86,Mode of transport 85,Urban design 83,Biome 83,Font 82
long 16.9940855454545 lat 46.4641228181818 viewpoint 270 degrees.jpeg,Wheel 97,Tire 96,Building 96,Vehicle 95,Property 95,Window 94,Car 92,Plant 90,House 88,Sky 85
long 16.9940855454545 lat 46.4641228181818 viewpoint 90 degrees.jpeg,Window 95,Building 88,Font 83,Facade 78,Wood 77,Screenshot 73,Rectangle 70,Advertising 67,Sash window 66,Street 62
long 16.9940903636364 lat 46.4639515454545 viewpoint 0 degrees.jpeg,Sky 95,Cloud 95,Window 93,Infrastructure 89,Building 88,Asphalt 87,Urban design 85,Biome 83,Screenshot 82,Software 82
long 16.9940903636364 lat 46.4639515454545 viewpoint 180 degrees.jpeg,Cloud 96,Property 94,Nature 90,Sky 89,Tree 89,Plant 89,Biome 84,Screenshot 83,Software 79,Font 77
long 16.9940903636364 lat 46.4639515454545 viewpoint 270 degrees.jpeg,Property 94,Cloud 94,Sky 93,Product 91,Building 90,Window 84,Urban design 83,Screenshot 83,Font 81,Facade 79
long 16.9940903636364 lat 46.4639515454545 viewpoint 90 degrees.jpeg,Nature 90,Plant 88,Biome 84,World 83,Grass 83,Screenshot 83,Tree 80,Urban design 79,Font 76,Software 76
long 16.9940914583333 lat 46.4653353020833 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9940914583333 lat 46.4653353020833 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9940914583333 lat 46.4653353020833 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Plant 92,Cloud 91,Asphalt 87,Tree 87,Road surface 86,Car 86,Land lot 86,Window 86
long 16.9940914583333 lat 46.4653353020833 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.9940951818182 lat 46.4637802727273 viewpoint 0 degrees.jpeg,Sky 95,Property 94,Building 94,Cloud 94,Tree 88,Biome 84,Screenshot 84,House 83,Urban design 82,Asphalt 81
long 16.9940951818182 lat 46.4637802727273 viewpoint 180 degrees.jpeg,Plant 96,Building 92,Nature 90,Sky 89,Tree 89,Road surface 88,Asphalt 85,Biome 84,Urban design 84,Screenshot 82
long 16.9940951818182 lat 46.4637802727273 viewpoint 270 degrees.jpeg,Sky 92,Ecoregion 92,Nature 90,Cloud 87,Land lot 86,Biome 83,Building 83,Grass 83,Screenshot 81,Tree 80
long 16.9940951818182 lat 46.4637802727273 viewpoint 90 degrees.jpeg,Window 94,Property 94,Plant 91,Building 91,Land lot 84,Grass 84,Wood 84,Biome 83,Font 83,Screenshot 82
long 16.994095875 lat 46.4651783020833 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 93,Asphalt 88,Urban design 84,Road surface 83,Font 83,Screenshot 83,Line 82,Tree 80
long 16.994095875 lat 46.4651783020833 viewpoint 180 degrees.jpeg,Cloud 96,Property 94,Photograph 94,Sky 92,Plant 91,Infrastructure 90,Road surface 88,Asphalt 88,Building 87,Lighting 86
long 16.994095875 lat 46.4651783020833 viewpoint 270 degrees.jpeg,Plant 92,Light 91,Nature 90,Sky 89,Tree 89,Building 89,Lighting 87,Biome 83,Urban design 83,Line 82
long 16.994095875 lat 46.4651783020833 viewpoint 90 degrees.jpeg,Property 95,Window 94,Building 89,Land lot 86,Font 83,Grass 83,Biome 82,Line 82,House 80,Screenshot 80
long 16.9941 lat 46.463609 viewpoint 0 degrees.jpeg,Plant 97,Tree 86,Land lot 86,Vegetation 85,Terrestrial plant 85,Grass 84,Biome 83,Woody plant 83,Font 82,Screenshot 81
long 16.9941 lat 46.463609 viewpoint 180 degrees.jpeg,Automotive parking light 97,Tire 95,Property 94,Building 92,Wheel 91,Window 90,Sky 89,Asphalt 87,Cloud 86,Residential area 82
long 16.9941 lat 46.463609 viewpoint 270 degrees.jpeg,Cloud 97,Sky 97,Property 94,Plant 94,Infrastructure 90,Road surface 90,Window 89,Asphalt 89,Tree 89,Tire 89
long 16.9941 lat 46.463609 viewpoint 90 degrees.jpeg,Cloud 97,Tire 97,Wheel 95,Sky 94,Plant 94,Car 93,Infrastructure 90,Vehicle 89,Road surface 89,Asphalt 88
long 16.9941114791667 lat 46.465334953125 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9941114791667 lat 46.465334953125 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9941114791667 lat 46.465334953125 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Plant 92,Cloud 91,Asphalt 87,Tree 87,Road surface 86,Car 86,Land lot 86,Window 86
long 16.9941114791667 lat 46.465334953125 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.9941157055556 lat 46.4637662666667 viewpoint 0 degrees.jpeg,Sky 95,Property 94,Cloud 94,Building 89,Tree 88,Screenshot 83,Biome 83,Asphalt 83,Urban design 82,Plant 80
long 16.9941157055556 lat 46.4637662666667 viewpoint 180 degrees.jpeg,Plant 96,Building 92,Nature 90,Tree 89,Sky 88,Road surface 88,Asphalt 87,Urban design 85,Biome 85,Screenshot 83
long 16.9941157055556 lat 46.4637662666667 viewpoint 270 degrees.jpeg,Sky 94,Ecoregion 92,Nature 90,Building 89,Cloud 88,Land lot 86,Biome 83,Grass 83,Tree 81,Screenshot 80
long 16.9941157055556 lat 46.4637662666667 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 92,Land lot 85,Grass 84,Wood 84,Font 83,Biome 83,Screenshot 83,Plant 81
long 16.9941203125 lat 46.465020953125 viewpoint 0 degrees.jpeg,Cloud 97,Sky 96,Infrastructure 89,Building 88,Plant 87,Asphalt 86,Window 86,Land lot 85,Urban design 84,Biome 84
long 16.9941314111111 lat 46.4639235333333 viewpoint 0 degrees.jpeg,Sky 95,Cloud 93,World 91,Building 90,Architecture 86,Urban design 85,Asphalt 85,Screenshot 83,Biome 82,House 82
long 16.9941314111111 lat 46.4639235333333 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Plant 91,Tree 87,Screenshot 84,Biome 84,Urban design 82,Asphalt 82,Woody plant 81,Software 80
long 16.9941314111111 lat 46.4639235333333 viewpoint 270 degrees.jpeg,Cloud 94,Sky 93,World 91,Font 84,Biome 83,Screenshot 83,Software 79,Slope 78,Technology 76,Urban design 75
long 16.9941314111111 lat 46.4639235333333 viewpoint 90 degrees.jpeg,Property 94,Window 94,Building 92,Plant 90,Nature 90,Land lot 86,Vegetation 85,Biome 84,Grass 83,Screenshot 82
long 16.9941315 lat 46.4653346041667 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9941315 lat 46.4653346041667 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9941315 lat 46.4653346041667 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Plant 92,Cloud 91,Asphalt 87,Tree 87,Road surface 86,Car 86,Land lot 86,Window 86
long 16.9941315 lat 46.4653346041667 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.9941358277778 lat 46.4637665333333 viewpoint 0 degrees.jpeg,Sky 95,Property 94,Cloud 94,Building 89,Tree 88,Screenshot 83,Biome 83,Asphalt 83,Urban design 82,Plant 80
long 16.9941358277778 lat 46.4637665333333 viewpoint 180 degrees.jpeg,Plant 96,Building 92,Nature 90,Tree 89,Sky 88,Road surface 88,Asphalt 87,Urban design 85,Biome 85,Screenshot 83
long 16.9941358277778 lat 46.4637665333333 viewpoint 270 degrees.jpeg,Sky 94,Ecoregion 92,Nature 90,Building 89,Cloud 88,Land lot 86,Biome 83,Grass 83,Tree 81,Screenshot 80
long 16.9941358277778 lat 46.4637665333333 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 92,Land lot 85,Grass 84,Wood 84,Font 83,Biome 83,Screenshot 83,Plant 81
long 16.9941359166667 lat 46.4651776041667 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 93,Asphalt 88,Urban design 84,Road surface 83,Font 83,Screenshot 83,Line 82,Tree 80
long 16.9941359166667 lat 46.4651776041667 viewpoint 180 degrees.jpeg,Cloud 96,Property 94,Photograph 94,Sky 92,Plant 91,Infrastructure 90,Road surface 88,Asphalt 88,Building 87,Lighting 86
long 16.9941359166667 lat 46.4651776041667 viewpoint 270 degrees.jpeg,Plant 92,Light 91,Nature 90,Sky 89,Tree 89,Building 89,Lighting 87,Biome 83,Urban design 83,Line 82
long 16.9941359166667 lat 46.4651776041667 viewpoint 90 degrees.jpeg,Property 95,Window 94,Building 89,Land lot 86,Font 83,Grass 83,Biome 82,Line 82,House 80,Screenshot 80
long 16.9941434807692 lat 46.4653464663462 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9941434807692 lat 46.4653464663462 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9941434807692 lat 46.4653464663462 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Plant 92,Cloud 91,Asphalt 87,Tree 87,Road surface 86,Car 86,Land lot 86,Window 86
long 16.9941434807692 lat 46.4653464663462 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.99414475 lat 46.4648636041667 viewpoint 0 degrees.jpeg,Plant 94,Cloud 92,Sky 91,Nature 90,Road surface 89,Tree 88,Asphalt 88,Urban design 85,Mode of transport 84,Screenshot 83
long 16.9941471166667 lat 46.4640808 viewpoint 0 degrees.jpeg,Photograph 94,Sky 94,Building 93,Window 93,Cloud 92,Road surface 89,Asphalt 88,Mode of transport 86,Font 85,Urban design 84
long 16.9941471166667 lat 46.4640808 viewpoint 180 degrees.jpeg,Cloud 96,Property 94,Photograph 94,Sky 92,Nature 90,Asphalt 86,Font 84,Biome 84,Screenshot 83,Graphics software 81
long 16.9941471166667 lat 46.4640808 viewpoint 270 degrees.jpeg,Building 96,Window 95,Property 95,Light 91,Fixture 89,Door 88,House 87,Wood 87,Architecture 86,Neighbourhood 83
long 16.9941471166667 lat 46.4640808 viewpoint 90 degrees.jpeg,Building 90,Window 86,Biome 83,Tree 82,Screenshot 82,Line 82,Urban design 82,House 80,Facade 78,Font 78
long 16.99415595 lat 46.4637668 viewpoint 0 degrees.jpeg,Sky 95,Property 94,Cloud 94,Building 89,Tree 88,Screenshot 83,Biome 83,Asphalt 83,Urban design 82,Plant 80
long 16.99415595 lat 46.4637668 viewpoint 180 degrees.jpeg,Plant 96,Building 92,Nature 90,Tree 89,Sky 88,Road surface 88,Asphalt 87,Urban design 85,Biome 85,Screenshot 83
long 16.99415595 lat 46.4637668 viewpoint 270 degrees.jpeg,Sky 94,Ecoregion 92,Nature 90,Building 89,Cloud 88,Land lot 86,Biome 83,Grass 83,Tree 81,Screenshot 80
long 16.99415595 lat 46.4637668 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 92,Land lot 85,Grass 84,Wood 84,Font 84,Biome 83,Screenshot 83,Plant 82
long 16.9941619615385 lat 46.4653461442308 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9941619615385 lat 46.4653461442308 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9941619615385 lat 46.4653461442308 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.9941628222222 lat 46.4642380666667 viewpoint 0 degrees.jpeg,Window 94,Cloud 92,Building 91,Plant 91,Infrastructure 90,Vehicle 90,Road surface 90,Asphalt 89,Sky 89,Car 87
long 16.9941628222222 lat 46.4642380666667 viewpoint 180 degrees.jpeg,Cloud 95,Sky 95,Wheel 93,Tire 93,Car 89,Asphalt 88,Road surface 88,Window 86,Tree 83,Building 83
long 16.9941628222222 lat 46.4642380666667 viewpoint 270 degrees.jpeg,Building 96,Property 94,Sky 93,Lighting 87,House 87,Window 83,Neighbourhood 83,Biome 83,Residential area 83,Asphalt 82
long 16.9941628222222 lat 46.4642380666667 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 93,Door 88,Fixture 87,Facade 79,Font 78,Wood 75,Urban area 73,Rectangle 72
long 16.9941691875 lat 46.4647062552083 viewpoint 0 degrees.jpeg,Plant 93,Cloud 93,Sky 91,Road surface 88,Window 88,Asphalt 87,Urban design 85,Building 85,Screenshot 84,Biome 83
long 16.9941691875 lat 46.4647062552083 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Building 90,Infrastructure 89,Road surface 88,Asphalt 86,Tree 86,Mode of transport 85,Screenshot 83,Biome 83
long 16.9941691875 lat 46.4647062552083 viewpoint 270 degrees.jpeg,Plant 95,Building 95,Property 95,Window 94,Sky 94,Nature 90,House 88,Land lot 86,Architecture 85,Biome 84
long 16.9941691875 lat 46.4647062552083 viewpoint 90 degrees.jpeg,Window 95,Building 94,Fixture 85,Wood 82,Wall 81,Facade 79,Real estate 79,Font 78,Urban design 77,Rectangle 74
long 16.9941709107143 lat 46.4653563348214 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9941709107143 lat 46.4653563348214 viewpoint 180 degrees.jpeg,Sky 95,Cloud 94,Plant 92,Infrastructure 89,Road surface 89,Asphalt 89,Biome 84,Screenshot 83,Line 82,Tree 82
long 16.9941709107143 lat 46.4653563348214 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Plant 92,Cloud 91,Asphalt 87,Tree 87,Road surface 86,Car 86,Land lot 86,Window 86
long 16.9941709107143 lat 46.4653563348214 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.9941716555556 lat 46.4639240666667 viewpoint 0 degrees.jpeg,Sky 95,Cloud 93,World 91,Building 90,Architecture 86,Urban design 85,Asphalt 85,Screenshot 83,Biome 82,House 82
long 16.9941716555556 lat 46.4639240666667 viewpoint 180 degrees.jpeg,Cloud 96,Sky 92,Plant 91,Tree 87,Screenshot 84,Biome 84,Urban design 82,Asphalt 82,Woody plant 81,Software 80
long 16.9941716555556 lat 46.4639240666667 viewpoint 270 degrees.jpeg,Cloud 94,Sky 93,World 91,Font 84,Biome 83,Screenshot 83,Software 79,Slope 78,Technology 76,Urban design 75
long 16.9941716555556 lat 46.4639240666667 viewpoint 90 degrees.jpeg,Property 94,Window 94,Building 92,Plant 90,Nature 90,Land lot 86,Vegetation 85,Biome 84,Grass 83,Screenshot 82
long 16.9941759583333 lat 46.46517690625 viewpoint 0 degrees.jpeg,Cloud 97,Property 94,Sky 93,Asphalt 88,Urban design 84,Road surface 83,Font 83,Screenshot 83,Line 82,Tree 80
long 16.9941759583333 lat 46.46517690625 viewpoint 180 degrees.jpeg,Cloud 96,Property 94,Photograph 94,Sky 92,Plant 91,Infrastructure 90,Road surface 88,Asphalt 88,Building 87,Lighting 86
long 16.9941759583333 lat 46.46517690625 viewpoint 270 degrees.jpeg,Plant 92,Light 91,Nature 90,Sky 89,Tree 89,Building 88,Lighting 87,Biome 83,Urban design 83,Line 82
long 16.9941759583333 lat 46.46517690625 viewpoint 90 degrees.jpeg,Property 95,Window 94,Building 89,Land lot 86,Font 83,Grass 83,Biome 82,Line 82,House 80,Screenshot 80
long 16.9941760722222 lat 46.4637670666667 viewpoint 0 degrees.jpeg,Sky 95,Property 94,Cloud 94,Building 89,Tree 88,Screenshot 83,Biome 83,Asphalt 83,Urban design 82,Plant 80
long 16.9941760722222 lat 46.4637670666667 viewpoint 180 degrees.jpeg,Plant 96,Building 92,Nature 90,Tree 89,Sky 88,Road surface 88,Asphalt 87,Urban design 85,Biome 85,Screenshot 83
long 16.9941760722222 lat 46.4637670666667 viewpoint 270 degrees.jpeg,Sky 94,Ecoregion 92,Nature 90,Building 89,Cloud 88,Land lot 86,Biome 83,Grass 83,Tree 81,Screenshot 80
long 16.9941760722222 lat 46.4637670666667 viewpoint 90 degrees.jpeg,Window 95,Property 94,Building 92,Land lot 85,Grass 84,Wood 84,Font 83,Biome 83,Screenshot 83,Plant 81
long 16.9941785277778 lat 46.4643953333333 viewpoint 0 degrees.jpeg,Sky 95,Window 93,Cloud 91,Building 90,Road surface 88,Asphalt 87,Urban design 85,Mode of transport 84,Screenshot 84,Biome 83
long 16.9941785277778 lat 46.4643953333333 viewpoint 180 degrees.jpeg,Cloud 97,Car 96,Tire 96,Sky 95,Wheel 95,Vehicle 91,Infrastructure 89,Plant 88,Tree 87,Asphalt 87
long 16.9941785277778 lat 46.4643953333333 viewpoint 270 degrees.jpeg,Tire 95,Wheel 95,Vehicle 95,Car 94,Photograph 94,Light 91,Motor vehicle 89,Cloud 88,Automotive lighting 88,Building 88
long 16.9941785277778 lat 46.4643953333333 viewpoint 90 degrees.jpeg,Window 94,Building 93,Wood 87,Rectangle 84,Facade 79,Font 77,Screenshot 75,House 72,Brick 71,Siding 70
long 16.994180375 lat 46.46501990625 viewpoint 0 degrees.jpeg,Cloud 97,Sky 96,Infrastructure 89,Building 88,Window 86,Asphalt 86,Plant 86,Urban design 84,Land lot 84,Biome 84
long 16.994180375 lat 46.46501990625 viewpoint 180 degrees.jpeg,Cloud 97,Sky 94,Photograph 94,Plant 91,Window 91,Infrastructure 90,Road surface 88,Asphalt 88,Building 87,Biome 85
long 16.994180375 lat 46.46501990625 viewpoint 270 degrees.jpeg,Building 96,Window 95,Property 95,Plant 93,Nature 90,House 90,Cloud 90,Land lot 86,Architecture 86,Sky 85
long 16.994180375 lat 46.46501990625 viewpoint 90 degrees.jpeg,Cloud 95,Ecoregion 93,Sky 90,Building 87,Land lot 86,Urban design 84,Biome 83,Grass 82,Font 80,Landmark 79
long 16.9941880714286 lat 46.4653560357143 viewpoint 0 degrees.jpeg,Cloud 97,Sky 95,Property 94,Infrastructure 89,Asphalt 89,Road surface 87,Lighting 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9941880714286 lat 46.4653560357143 viewpoint 180 degrees.jpeg,Sky 94,Cloud 94,Plant 91,Nature 90,Infrastructure 89,Road surface 89,Asphalt 89,Biome 83,Screenshot 83,Line 82
long 16.9941880714286 lat 46.4653560357143 viewpoint 270 degrees.jpeg,Sky 96,Building 95,Property 94,Plant 92,Cloud 91,Car 88,Asphalt 87,Tree 86,Road surface 86,Window 86
long 16.9941880714286 lat 46.4653560357143 viewpoint 90 degrees.jpeg,Property 94,Window 93,Land lot 85,Font 83,Biome 83,Screenshot 83,Grass 82,Facade 79,Real estate 78,Building 78
long 16.994193625 lat 46.46454890625 viewpoint 0 degrees.jpeg,Sky 91,Infrastructure 89,Asphalt 89,Road surface 88,Cloud 87,Urban design 84,Building 84,Screenshot 83,Font 83,Line 82
