"","Adaptation","Advertising","Architecture","Asphalt","Automotive","Awning","Banner","Bicycle","Biome","Brick","Brickwork","Building","Car","Chair","City","Cloud","Commercial","Condominium","Display","Door","Ecoregion","Facade","Fixture","Font","Games","Gas","Grass","Home","House","Human","Infrastructure","Land","Landscape","Light","Lighting","Line","Logo","Metropolitan","Mixed-use","Mode","Motor","Multimedia","Musical","Natural","Nature","Neighbourhood","Parking","Pc","Pedestrian","Photograph","Plant","Product","Property","Public","Real","Rectangle","Residential","Retail","Road","Roof","Sash","Screenshot","Shade","Shooter","Sidewalk","Siding","Sign","Signage","Sky","Snapshot","Software","Street","Table","Technology","Tent","Terrestrial","Thoroughfare","Tints","Tire","Travel","Tree","Umbrella","Urban","Vegetation","Vehicle","Video","Wall","Wheel","White","Window","Wood","Woody","World","Yellow","Zebra","link_id","num_images","Apartment","Black","Botany","Branch","Bus","Computer","Concrete","Cottage","Electricity","Fence","Graphics","Grassland","Green","Landmark","Leaf","Machine","Material","Moon","Orange","Room","Slope","Tar","Trunk","Vertebrate","Communication","Cumulus","Daytime","Electronic","Event","Fender","Filling","Flower","Forest","Gadget","Gasoline","Hood","Lawn","Leisure","Mesh","Organism","Output","Parallel","Plain","Rear-view","Rolling","Rural","Tour","Train","Truck","Van","Gps","Groundcover","Hazard","Map","People","Personal","Shrub","Sunlight","Traffic","Atmosphere","Cabinetry","Composite","Floor","Flooring","Geological","Horizon","Interior","Mammal","Prairie","Recreation","Water","Bicycles--Equipment","Passenger","Larch","Competition","Grille","Alloy","Camera","Field","Naval","Sport","Stadium","Animation","Engineering","Art","Brand","Compact","Handwriting","Player","Tower","Symmetry","Arch","Design","Electric","Fruit","Hubcap","Poster","Sink","Suit","Town","Christmas","Hat","Meteorological","Morning","Racing","Runway","Soil","Bird","Crescent","Stairs","Stop","Bumper","Evergreen","Flat","shortstraw","Baseball","Job","Trade","Transport","Waste","Space","Outdoor","Canopy","Sports","Agriculture","Air","Aircraft","Atmospheric","Auto","Flowering","Garden","Gesture","Helmet","Highland","Ladder","Overhead","Picket","Porch","Television","Triangle","Twig","Flowerpot","Lane","signaling","Carnivore","Aerospace","Aviation","Flag","Fuel","Number","Clock","Motorcycle","Astronomical","Mountain","Operating","Guitar","Scoreboard","Race","Metal","Wire","Fashion","Houseplant","Office","Bench","Food","Laptop","Billboard","Cartoon","Motorsport","News","Pole","Screen","Audio","Locomotive","Railroad","Railway","Track","Snow","Pattern","Meadow","id","type","data","gender","poly_area"
"11",0,0,18,76,40,0,0,0,35,0,0,86,44,0,0,55,0,0,0,26,0,26,11,24,0,5,22,8,8,0,11,19,0,0,9,23,0,0,0,6,36,0,0,0,16,0,5,0,0,3,36,0,28,1,1,3,0,0,38,0,0,45,0,0,0,0,0,0,48,0,8,6,0,3,0,0,0,0,16,0,36,0,62,0,33,0,5,18,0,81,6,19,0,7,0,22,112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"721","safePolygon","Nő","Female",904.740817773156
"12",148,0,435,2729,432,0,0,0,2017,105,43,3276,990,0,0,3258,0,0,0,235,333,576,322,1457,173,2,583,0,782,0,1506,1424,22,299,517,629,0,0,0,814,246,0,0,585,922,228,0,119,0,524,2694,57,1524,0,139,441,193,0,2173,48,95,2207,0,0,0,2,0,1,3457,0,421,68,0,185,0,128,477,0,813,0,2535,0,1891,188,851,1,145,717,25,2628,468,325,181,0,0,27,5178,0,23,0,0,0,0,164,0,17,0,323,0,156,32,0,0,149,0,38,45,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"721","fearPolygon","Nő","Female",51262.972831279
"13",0,15,49,704,877,0,0,0,93,0,0,515,912,0,0,641,0,0,0,0,0,83,0,284,0,19,118,0,99,0,434,303,0,49,44,36,0,0,0,265,396,6,0,0,29,0,0,0,0,311,884,10,136,12,35,0,20,0,338,0,0,367,0,0,1,0,0,0,838,0,87,59,0,45,0,0,23,0,712,0,679,0,354,11,1009,0,0,598,0,305,0,91,0,0,0,28,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"722","fearPolygon","Férfi","Male",4143.20680177398
"14",124,24,97,3378,1517,0,0,48,1621,0,0,2711,1889,0,33,2460,0,98,19,65,78,329,33,1204,0,14,713,14,178,0,1750,790,55,512,295,727,15,0,0,1282,914,212,0,722,808,105,0,0,0,1036,4040,46,955,79,253,51,296,0,1998,2,0,2500,20,3,0,0,0,6,3652,1,501,322,0,226,0,46,763,8,1287,0,4148,0,1976,51,1952,18,55,1070,13,1859,81,722,360,3,0,29,5584,17,89,0,4,0,14,0,0,0,15,49,0,65,0,12,9,17,96,0,0,0,0,0,0,0,0,0,26,15,0,0,0,0,38,0,0,0,0,0,3,12,0,0,11,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,16,5,9,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"722","safePolygon","Férfi","Male",62264.2456009388
"15",0,1,23,272,33,0,0,0,7,1,0,265,93,0,69,247,15,5,19,1,0,66,1,120,13,0,0,0,0,0,183,7,0,0,54,15,0,21,0,108,24,40,0,0,0,21,2,0,3,89,35,0,17,11,15,0,0,0,219,0,0,193,0,0,21,0,0,11,246,0,14,20,0,0,0,0,58,0,33,0,44,0,252,0,77,11,1,56,0,191,0,0,3,0,0,30,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"723","safePolygon","Nő","Female",1456.90712914988
"16",159,76,1797,14742,3953,0,0,0,7106,0,0,9776,7477,0,0,16507,0,0,8,993,994,1451,429,3538,0,477,2740,14,3608,0,9642,6369,74,623,1572,2535,0,0,0,3443,3761,142,0,544,4098,223,0,0,0,5637,18249,105,6996,0,905,122,650,0,10553,14,0,6452,91,28,0,0,0,204,18360,0,765,1258,0,133,0,443,3079,0,3578,0,16833,0,7347,409,5541,18,224,3402,50,7894,641,865,472,15,0,34,23249,0,0,0,23,243,67,0,252,3,192,89,0,355,0,0,0,0,244,0,0,155,0,0,14,0,0,57,43,0,62,16,119,1,3,16,101,0,0,0,30,0,46,21,0,52,0,12,26,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"723","fearPolygon","Nő","Female",53880.6415189505
"17",220,45,1245,10773,8000,0,0,10,4781,0,0,9022,8438,0,59,3454,0,339,26,145,490,708,60,3257,9,61,2307,56,523,0,5944,4704,159,2126,1598,1708,0,0,0,2963,4581,92,0,1898,3110,221,0,0,0,3198,13248,447,3713,250,452,113,521,0,5843,0,0,6100,3,58,30,3,0,0,11087,0,746,889,0,100,0,228,1364,5,6700,0,12305,0,8669,250,8578,19,17,6051,51,4600,297,1548,910,9,0,35,18350,5,63,1,159,15,11,0,0,0,124,212,11,218,0,30,0,7,407,0,17,0,0,0,0,0,0,6,14,0,0,0,0,0,24,0,117,13,21,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,69,3,177,0,0,43,0,0,50,0,0,0,0,0,22,0,13,0,0,0,0,0,0,7,7,7,22,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"724","fearPolygon","Férfi","Male",223786.231020093
"18",10,13,61,273,52,0,0,0,191,27,6,408,117,0,0,343,0,0,0,69,21,111,72,219,0,0,35,0,116,0,203,75,10,9,51,21,0,0,0,148,36,0,0,33,47,56,0,0,0,70,227,13,215,0,10,66,37,0,237,20,13,279,0,0,0,0,0,3,373,0,58,1,0,1,0,19,36,0,84,0,165,0,208,8,149,13,37,65,0,392,96,3,19,0,0,40,583,0,0,0,0,0,0,7,0,0,0,23,0,0,0,0,0,24,0,11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"726","fearPolygon","Férfi","Male",3919.81622354873
"19",0,1,48,271,55,0,0,0,111,8,1,306,104,0,0,356,0,0,0,20,35,29,30,67,0,0,37,0,71,0,214,169,2,10,51,21,0,0,0,90,28,0,0,64,56,23,0,0,0,88,369,0,208,0,18,29,12,0,256,5,1,120,0,0,0,0,0,1,340,0,15,18,0,0,0,18,93,0,100,0,250,0,121,23,107,1,7,94,0,327,35,0,0,0,0,41,503,0,0,0,0,0,0,2,0,0,0,26,0,44,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"726","fearPolygon","Férfi","Male",13043.5404440463
"20",237,178,1537,8847,3526,0,0,100,3497,227,46,9036,5406,0,182,7986,0,95,3,1193,224,2463,539,3219,167,189,844,199,2275,0,6130,3178,48,647,1214,1125,0,0,0,2965,2444,79,0,356,1615,249,0,0,0,3499,8702,239,4244,202,764,369,563,26,7321,98,0,4037,0,0,16,29,0,71,9321,37,766,778,0,114,0,309,1729,93,3145,0,7908,0,5688,399,4513,217,264,2870,204,8456,566,883,320,14,0,42,15290,0,0,0,36,33,0,0,43,0,48,119,0,306,0,0,15,176,0,0,50,180,0,0,0,21,0,0,48,0,0,0,37,0,18,0,34,0,0,0,45,17,0,0,0,0,0,0,0,0,0,0,34,0,0,0,26,14,0,23,0,0,12,0,0,0,0,0,0,0,0,0,31,0,0,0,0,6,0,0,0,0,0,0,0,65,0,0,0,0,0,284,36,45,10,14,6,2,1,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"727","fearPolygon","Férfi","Male",43285.1601946056
"21",288,97,1685,17728,10148,0,0,51,8212,0,0,12912,11155,0,70,7539,0,439,54,283,1806,1584,93,7839,69,202,4001,88,1121,0,8265,6544,629,3669,2331,3633,79,0,0,4536,5596,486,0,3363,4517,382,26,0,0,5143,18887,708,5640,450,795,374,774,0,9781,43,0,12792,24,109,79,4,0,0,19071,0,2579,1316,0,414,0,360,2004,14,8451,0,18206,0,12860,349,11053,95,40,7400,47,6961,773,2301,1821,40,0,43,28742,17,127,21,126,17,30,0,0,0,48,396,406,248,0,27,16,15,597,0,42,103,13,0,0,10,8,1,99,3,0,0,0,0,32,0,112,17,39,0,33,54,0,425,0,8,0,0,0,0,0,0,0,0,21,0,2,0,0,1,0,21,120,12,344,0,122,83,0,0,60,0,0,0,0,0,29,0,22,0,0,0,0,0,0,0,37,8,17,10,42,0,0,10,0,0,0,0,0,0,0,1,3,5,1,58,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"727","safePolygon","Férfi","Male",339391.853643954
"22",359,0,1980,9885,1709,0,0,54,9401,45,20,7553,2333,0,19,3298,0,11,0,490,448,995,135,3354,14,132,1887,0,4648,0,4692,3637,180,1043,1964,1952,0,0,0,2976,1492,16,0,2206,4525,261,4,0,0,1623,12054,125,4249,134,572,66,783,0,6853,63,0,7025,50,30,2,80,0,24,11372,14,1008,274,0,120,0,304,2146,9,1199,0,12454,0,6905,429,2344,17,165,954,0,5859,578,2264,1901,64,0,44,16086,0,92,17,59,7,4,0,207,0,351,1170,0,267,11,0,0,14,463,0,0,112,0,10,0,7,0,0,11,0,0,0,5,1,1,0,68,0,37,0,17,1,0,0,6,0,0,0,0,3,0,0,0,0,0,1,0,5,0,23,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,17,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"728","safePolygon","Nő","Female",183478.832484692
"23",262,170,361,28340,8029,0,0,109,10339,187,165,8040,8522,0,8,36748,0,0,384,66,4883,1282,80,10403,33,336,7437,0,1507,0,19028,11319,807,3066,473,7678,0,0,0,12316,4886,529,0,7273,13165,38,0,1,0,8265,30168,787,6240,110,1123,168,355,0,20568,47,0,14261,51,0,0,0,0,170,37497,58,2352,2170,0,1207,0,1448,8370,0,3879,58,28743,0,7854,2301,7420,84,18,3346,0,6404,33,1535,865,43,0,45,41225,0,0,138,0,119,69,0,0,14,1093,69,0,276,1,1,0,0,317,0,0,2,0,0,53,201,136,9,480,0,0,9,0,0,380,12,0,7,65,0,315,20,55,47,75,58,49,52,8,305,62,0,242,0,0,0,18,221,0,78,0,0,0,0,0,0,0,0,0,0,1,0,25,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,505,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"729","fearPolygon","Nő","Female",199061.072096646
"24",57,78,483,6241,4815,0,0,31,2990,7,0,7229,5891,0,25,5831,0,109,41,201,139,752,68,1742,38,34,1464,62,388,0,3570,2840,69,586,501,761,32,0,0,1818,3220,54,0,656,1426,146,17,3,0,2344,9126,161,2498,218,481,223,503,0,3656,86,0,3377,13,27,7,78,0,59,6646,10,480,422,0,190,0,70,745,77,4588,0,7693,0,4761,157,6185,1,155,3998,0,4453,389,891,298,9,3,50,12032,0,0,7,20,1,112,0,0,0,20,61,9,82,1,17,20,21,16,0,17,10,0,0,1,4,0,0,63,10,0,0,0,0,12,0,9,13,2,0,18,23,3,0,0,0,1,0,0,20,14,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,22,0,0,0,2,4,0,0,9,0,0,0,0,0,2,0,0,0,24,1,0,15,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,10,2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"730","fearPolygon","Férfi","Male",129166.263992988
"25",1,0,1,746,63,0,0,0,172,0,0,176,119,0,0,827,0,0,0,0,0,5,0,151,0,0,68,0,23,0,566,35,13,0,47,121,0,0,0,469,332,1,0,11,217,0,0,0,0,109,499,18,53,23,2,0,0,0,612,0,0,365,21,0,0,0,0,0,841,0,70,94,0,0,0,0,178,0,155,0,795,0,467,0,182,0,0,153,0,144,0,66,16,8,12,51,925,0,0,0,0,118,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"730","fearPolygon","Férfi","Male",8539.01531121135
"26",0,94,0,1639,1041,0,0,4,267,0,0,288,1202,0,0,1580,0,0,79,3,116,165,0,815,101,41,211,0,38,0,990,366,11,120,105,348,66,0,0,556,828,200,0,109,264,0,0,50,0,268,1131,97,95,0,0,9,0,0,909,0,0,1021,0,0,0,0,0,31,1912,0,382,279,0,215,0,11,89,0,744,0,988,0,326,39,1132,109,0,752,0,95,3,16,31,0,0,52,2278,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,17,0,4,0,0,19,0,0,0,13,0,0,55,23,0,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,66,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,13,47,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"730","fearPolygon","Férfi","Male",19300.7082255781
"27",0,0,92,613,263,0,0,0,322,0,0,522,367,0,0,692,0,11,0,0,142,53,0,96,0,5,217,0,56,0,562,366,11,55,11,48,0,0,0,104,241,0,0,202,220,26,0,0,0,306,1089,6,319,0,27,0,64,0,449,0,0,224,0,0,0,0,0,0,678,0,28,140,0,0,0,134,58,0,188,0,756,0,368,135,319,0,16,101,0,392,8,37,3,4,0,55,1129,0,0,0,0,0,13,0,0,0,8,3,0,58,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"730","safePolygon","Férfi","Male",4106.51850128174
"28",83,0,98,2217,251,0,0,0,2595,0,0,929,138,0,0,775,0,0,0,2,638,17,0,1481,0,3,498,0,473,0,1035,756,166,225,575,327,0,0,0,512,130,0,0,2506,1790,47,0,0,0,306,3336,32,423,31,16,0,126,0,1724,0,0,1422,17,0,13,0,0,0,2217,0,160,72,0,4,0,421,742,0,83,0,3718,0,1153,669,182,0,0,72,0,627,1,679,297,154,0,56,3793,0,0,21,202,0,0,0,3,0,136,186,0,92,0,132,0,0,66,0,0,0,0,0,0,32,0,0,16,0,0,0,0,2,7,0,0,21,0,0,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"731","fearPolygon","Férfi","Male",42769.9797065556
"29",0,1,26,364,88,12,0,0,17,1,1,328,128,0,102,292,20,35,20,0,0,121,3,149,0,0,16,0,0,0,221,22,0,8,78,36,0,0,0,171,47,85,0,0,3,26,12,0,13,88,75,19,16,0,17,2,3,0,227,0,0,219,25,0,23,0,0,19,271,0,3,27,12,3,0,13,80,0,53,0,96,12,320,0,133,19,3,52,0,231,0,16,3,0,0,58,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"731","safePolygon","Férfi","Male",1973.6956786029
"30",18,0,83,1031,330,0,0,5,550,0,0,610,507,3,53,1067,0,0,0,19,6,47,0,232,0,0,280,0,15,0,597,250,21,1,107,154,0,0,2,447,355,1,0,125,226,35,0,0,2,339,1076,8,122,84,16,0,17,0,744,0,0,504,44,0,0,0,0,3,992,0,87,227,12,27,59,13,189,0,278,0,1117,3,975,19,523,0,0,254,21,598,0,145,112,0,0,59,1605,0,0,12,0,0,0,0,0,0,0,0,0,101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,19,0,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"731","safePolygon","Férfi","Male",10471.5342236981
